id,city,summer,winter,sea,skiing,nature,history,advanture,architecture,gastro,spa
1,antalya,1,0,1,0,1,1,1,1,1,0
2,zonguldak,1,1,0,0,0,1,0,0,0,0
3,adana,1,1,1,0,0,1,0,0,1,0
4,adiyaman,1,1,0,0,0,1,0,0,1,0
5,afyonkarahisar,1,1,0,0,0,1,0,0,1,0
6,aksaray,1,1,0,0,1,1,0,0,0,0
7,amasya,1,1,0,0,0,1,0,0,1,0
8,ankara,1,1,0,0,0,1,0,1,1,0
9,ardahan,1,1,0,0,1,1,0,0,1,0
10,artvin,1,1,0,0,1,1,0,0,1,0
11,aydin,1,1,1,0,1,1,1,0,1,0
12,agri,1,1,0,0,1,1,0,0,0,0
13,balikesir,1,1,1,0,1,0,0,0,1,0
14,bartin,1,1,0,0,0,1,0,0,0,1
15,batman,0,1,0,1,1,1,0,0,0,1
16,bayburt,0,1,0,1,0,1,0,0,0,0
17,bilecik,1,1,0,0,1,1,0,0,1,0
18,bingol,0,1,0,1,0,0,0,0,1,0
19,bitlis,1,1,0,0,1,1,0,0,0,0
20,bolu,1,1,0,0,1,0,0,0,1,0
21,burdur,1,1,0,1,0,1,0,0,0,1
22,bursa,1,1,0,1,0,0,0,0,1,1
23,canakkale,1,1,0,0,0,1,0,0,1,0
24,cankiri,1,1,0,0,0,1,0,0,0,0
25,corum,1,1,0,0,0,1,0,0,0,0
26,denizli,1,1,0,0,0,1,0,0,1,0
27,diyarbakir,1,1,0,0,0,1,0,0,0,0
28,duzce,1,1,0,0,1,1,0,0,0,0
29,edirne,1,1,0,0,1,1,0,1,0,0
30,elazig,1,1,0,1,0,1,0,0,0,0
31,erzincan,1,1,0,1,0,1,0,0,0,1
32,erzurum,0,1,0,1,0,1,0,0,1,0
33,eskisehir,1,1,0,0,1,1,0,0,1,0
34,gaziantep,1,1,0,0,0,1,0,0,1,0
35,giresun,1,1,0,0,1,1,0,0,0,0
36,gumushane,0,1,0,1,0,0,1,0,0,0
37,hakkari,1,1,0,0,0,1,0,0,0,0
38,hatay,1,1,1,0,0,1,0,0,0,0
39,igdir,1,1,0,0,1,1,0,0,0,0
40,isparta,1,1,0,1,1,1,0,0,0,0
41,izmir,1,1,1,0,1,1,0,1,0,0
42,kahramanmaras,1,1,0,0,1,1,0,0,1,1
43,karabuk,1,1,0,0,1,1,0,0,0,0
44,karaman,1,1,0,0,1,1,0,0,0,0
45,kars,1,1,0,0,0,1,0,0,1,0
46,kastamonu,1,1,0,0,1,1,0,0,0,0
47,kayseri,1,1,0,1,0,1,0,0,0,0
48,kirklareli,1,1,0,0,1,1,0,0,0,0
49,kirikkale,1,1,0,0,0,1,0,0,0,0
50,kirsehir,1,1,0,0,0,1,0,0,0,0
51,kilis,1,1,0,0,0,1,0,0,1,0
52,kocaeli,1,1,0,0,0,0,1,0,1,0
53,konya,1,1,0,0,0,1,0,0,1,0
54,kutahya,1,1,0,0,0,1,0,0,0,0
55,malatya,1,1,0,0,0,1,0,0,1,0
56,manisa,1,1,0,0,1,0,0,1,0,0
57,mardin,1,1,0,0,0,1,0,0,1,0
58,mersin,1,1,1,0,1,1,0,0,0,0
59,mugla,1,0,1,0,1,1,0,0,0,0
60,mus,1,1,0,0,0,1,0,0,1,0
61,nevsehir,1,1,0,0,0,1,0,1,0,0
62,nigde,1,1,0,0,0,1,0,0,0,0
63,ordu,1,1,0,0,1,1,1,0,0,0
64,osmaniye,1,1,0,0,1,1,0,0,1,0
65,istanbul,1,1,1,0,1,1,1,1,1,1
66,rize,1,1,0,0,1,1,1,0,0,0
67,sakarya,1,1,0,0,1,0,1,0,0,0
68,samsun,1,1,0,0,1,1,1,0,1,0
69,siirt,1,1,0,0,0,1,0,0,0,0
70,sinop,1,1,0,0,1,1,0,0,1,0
71,sivas,1,1,0,0,0,1,0,0,1,0
72,sanliurfa,1,1,0,0,1,1,0,0,1,0
73,sirnak,1,1,0,0,0,1,0,0,1,0
74,tekirdag,1,1,0,0,0,1,0,0,1,0
75,tokat,1,1,0,0,0,1,0,0,0,0
76,trabzon,1,1,0,0,1,1,1,0,1,0
77,tunceli,1,1,0,0,0,1,0,0,0,0
78,usak,1,1,0,0,0,1,0,0,0,0
79,van,1,1,0,0,0,1,0,0,1,0
80,yalova,1,1,0,0,1,1,0,0,1,0
81,yozgat,1,1,0,0,0,1,0,0,0,0
82,user,0,0,0,0,0,0,0,0,0,0
